from,to,relationship
ulfranzen,dresdnersportclub,2
ulfranzen,stiftungsporthilfesachsen,2
ulfranzen,ostsaechsischensparkassedresden,2
woeisenberg,leuchtstoffwerkbreitungen,2
woeisenberg,vwt,4
woeisenberg,vwt,2
woeisenberg,arbeitgeberverbandnordostchemie,2
wogroßkopf,landesjagdverbandsachsenanhalt,4
wogroßkopf,landesjagdverbandsachsenanhalt,2
wogroßkopf,großkopfkunststofftechnik,2
wogroßkopf,netzwerkmek,2
kaostermann,mdr,1
dibauer,mdr,1
miziche,mdr,1
kabeberhold,mdr,1
maboehme,mdr,1
siborgwardt,mdr,1
woeisenberg,mdr,1
mafangohr,mdr,1
anfeiks,mdr,1
maforßbohm,mdr,1
ulfranzen,mdr,1
nigbur,mdr,1
stgebhardt,mdr,1
hegraichen,mdr,1
olgreie,mdr,1
wogroßkopf,mdr,1
irherfurth,mdr,1
diherz,mdr,1
hehilker,mdr,1
rohoffmann,mdr,1
alkehr,mdr,1
klkloetzner,mdr,1
gukosmehl,mdr,1
rekraushaar,mdr,1
frkuehn,mdr,1
ekkulakova,mdr,1
malanghof,mdr,1
joleibiger,mdr,1
chmaier,mdr,1
thmalcherek,mdr,1
hamauer,mdr,1
kamitteldorf,mdr,1
frnemetz,mdr,1
phnitsche,mdr,1
annowak,mdr,1
dipanter,mdr,1
sireeder,mdr,1
strether,mdr,1
stschikor,mdr,1
maschlimbach,mdr,1
sescholz,mdr,1
frschoenborn,mdr,1
kasethi,mdr,1
sasieber,mdr,1
mavoigt,mdr,1
chwagner,mdr,1
sawitt,mdr,1
beziesch,mdr,1
tazieschang,mdr,1
onakdeniz,musglaubensgemeinschaft,4
onakdeniz,hessintegrationskonferenz,2
yaalinaghi,wohlfahrtspflegehessen,4
yaalinaghi,paritaetischehessen,2
yaalinaghi,akademiesued,2
yaalinaghi,diensteimalter,2
yaalinaghi,wohnraumhilfedarmstadt,2
yaalinaghi,unionversicherungsdienst,2
anbohnenkamprenken,freiesdeutscheshochstift,4
anbohnenkamprenken,polytechnischegesellschaft,2
anbohnenkamprenken,fischerstiftung,2
anbohnenkamprenken,goethegesellschaft,2
anbohnenkamprenken,novalisgesellschaft,2
ulcaspar,hihk,4
ulcaspar,econo,2
ulcaspar,fiz,2
ulcaspar,frankfurtrheinmain,2
ulcaspar,rheinmainverkehrsbund,2
ulcaspar,nhw,2
ulcaspar,dihk,2
ulcaspar,cdu,3
ulcaspar,performzukunftsregion,2
siclaar,gewhessen,4
siclaar,hochschulehannover,2
siclaar,spd,3
inclaus,landtaghessen,4
inclaus,cdu,3
inclaus,stiftunghoherdomzumainz,2
midangel,bauernverbandhessen,4
midangel,milcherzeugnissehessen,2
midangel,vereinfuerlandvolkbildung,2
midangel,foerderungdermilchwirtschaft,2
sueickemeier,hochschuleoffenbach,4
sueickemeier,ekhnstiftung,2
sueickemeier,kinderschutzbundhochtaunus,2
sueickemeier,johannesmosbachstiftung,2
arenners,landtaghessen,4
arenners,afd,3
arenners,stiftungalternativepolitik,2
kegeis,landtaghessen,4
kegeis,spd,3
kegeis,kreisklinikgrossgerau,2
kahahne,selbststaendig,2
kahahne,verbandfreierberufe,4
raheuberger,juedischegemeindeffm,4
raheuberger,budgestiftung,2
raheuberger,rothschildschestiftung,2
raheuberger,stiftungneuesynagogeberlin,2
raheuberger,institutfuersozialforschungffm,2
raheuberger,centrumjudaicum,2
bikuemmel,museumsverbandhessen,4
jukuhlmann,landwirtschafthessen,2
jukuhlmann,landessportbundhessen,2
jukuhlmann,stiftungflughafenffm,2
jukuhlmann,sportstiftunghessen,2
jukuhlmann,lottohessen,2
jukuhlmann,landessportkonferenz,2
mamachalett,hessischerjugendring,4
mamencke,evkirche,4
mamencke,diakoniegemeinschaftpaulinenstift,2
mamencke,arbeitskreisevangelischerunternehmer,2
kamueller,landesregierunghessen,4
kamueller,cdu,3
brott,landesfrauenrathessen,4
wopax,katholischekirche,4
wopax,stvincenz,2
chriess,aghessischenhwk,4
chriess,hwkffmrheinmain,2
chriess,wirtschaftsfoerderungffm,2
chriess,frankfurtrheinmain,2
chriess,buergschaftsbankhessen,2
chriess,europakomitteehessen,2
chriess,frankfurtervolksbank,2
chriess,freundedereintrachtag,2
chriess,hessenagentur,2
chriess,polytechnischegesellschaft,2
svringsdorf,europaunion,4
svringsdorf,fdp,3
svringsdorf,weisschemietechnik,2
svringsdorf,mathesundkollegen,2
svringsdorf,gimmlerreisen,2
svringsdorf,weissamericansinc,2
svringsdorf,weisschemical,2
svringsdorf,weissusa,2
rerock,landesregierunghessen,4
rerock,roteskreuzseligenstadt,2
rerock,fdp,3
mirudolph,dgb,4
mirudolph,wibank,2
mirudolph,vrbundesagenturfuerarbeit,2
mirudolph,aokhessen,2
mirudolph,hessenagentur,2
mirudolph,sparkassenversicherung,2
mirudolph,spd,3
mirudolph,europaeischenakademiederarbeit,2
heschmitt,dbb,4
heschmitt,bta,2
heschmitt,dpolg,2
heschmitt,landesverbandhesen,2
anschneider,dbb,4
anschneider,vbehessen,2
roscholz,bdv,4
roscholz,cdu,3
roscholz,stiftunghandschrift,2
roscholz,frauenunionwiesbaden,2
kaseewald,ernaehrungsratkassel,2
kaseewald,vhskassel,2
kaseewald,vhshessen,2
kaseewald,mbthessen,2
evtolpina,agahhessen,4
evtolpina,sozialerdienst,2
evtolpina,kreisverwaltungwerrameißnerkreis,2
evtolpina,spd,3
evtolpina,oveschwege,2
jevogt,landesmusikrat,4
jevogt,operfrankfurt,2
jevogt,bayreutherfestspiele,2
jevogt,unisono,2
jevogt,deutschermusikrat,2
jevogt,lmrh,2
jevogt,deutscherkulturrat,2
jevogt,eukommission,2
jevogt,deutscheorchesterstiftung,2
jevogt,vddko,2
jevogt,deutschemusikundorchestervereinigung,2
mawagner,landesregierunghessen,4
mawagner,gruene,3
siweinmannmang,vhu,4
siweinmannmang,bwhw,2
siweinmannmang,hessenmetall,2
anzulauf,landeselternbeirat,4
anzulauf,bfw,2
anzulauf,stadtelternbeiratgießen,2
onakdeniz,hr,1
yaalinaghi,hr,1
anbohnenkamprenken,hr,1
ulcaspar,hr,1
siclaar,hr,1
inclaus,hr,1
midangel,hr,1
sueickemeier,hr,1
arenners,hr,1
kegeis,hr,1
kahahne,hr,1
raheuberger,hr,1
bikuemmel,hr,1
jukuhlmann,hr,1
mamachalett,hr,1
mamencke,hr,1
kamueller,hr,1
brott,hr,1
wopax,hr,1
chriess,hr,1
svringsdorf,hr,1
rerock,hr,1
mirudolph,hr,1
heschmitt,hr,1
anschneider,hr,1
roscholz,hr,1
kaseewald,hr,1
evtolpina,hr,1
jevogt,hr,1
mawagner,hr,1
siweinmannmang,hr,1
anzulauf,hr,1
dehohloch,landtagbrandenburg,4
dehohloch,afd,3
dehohloch,stadtrat,2
detumlirsch,landesbauern,4
detumlirsch,lmbv,2
frbecker,beamtenbund,4
frbecker,vakberlin,2
frbecker,hprberlin,2
reauster,foen,2
reauster,bln,4
chamsinck,drvbund,2
chamsinck,ipv,2
chamsinck,ibberlin,2
chamsinck,commerzbank,2
chamsinck,lhrbrandenburg,2
chamsinck,uvb,4
ankuehnemann,spd,3
ankuehnemann,verdi,2
ankuehnemann,stadtreinigungberlin,2
ankuehnemann,stromnetzberlin,2
ankuehnemann,djv,2
ankuehnemann,verdiberlin,4
jajazairi,hpvberlin,2
jajazairi,migrantenbeiratpotsdam,2
jajazairi,integrationssenat,4
mekuehnemann,spd,3
mekuehnemann,abgeordnetenhausberlin,4
anfaber,landfrauenbrandenburg,2
anfaber,fprbrandenburg,4
sanachama,widenthecircle,2
sanachama,juedischegemeinedeberlin,4
sanachama,advofleet,2
sanachama,wiberlin,2
likanellos,unicefberlin,2
likanellos,erzbistumberlin,4
anveiel,hsstiftung,2
anveiel,dffb,2
anveiel,akademiederkuenste,4
kakarger,dgbbb,4
kakarger,htwberlin,2
nazivkovic,cdu,3
nazivkovic,gruenberlin,2
nazivkovic,smartlivinigandhealthcenter,2
nazivkovic,stiftungzukunftberlin,2
nazivkovic,buergermeisterratberlin,4
makoinzer,sorbischbrandenburg,4
makoinzer,domowina,2
frfeuerschuetz,jugendringberlin,4
frfeuerschuetz,evkircheberlin,2
frfeuerschuetz,lmb,2
frfeuerschuetz,spd,3
hageywitz,evkircheberlin,4
hageywitz,evseelsorgebundeswehr,2
hageywitz,telefonicagermany,2
hageywitz,stmarienkirche,2
hageywitz,garnisonkirchepotsdam,2
hageywitz,spd,3
chgoiny,abgeordnetenhausberlin,4
chgoiny,arliegenschaftsfond,2
chgoiny,cdu,3
chgoiny,vdgg,2
digolze,ligabb,4
digolze,awobrandenburg,2
digolze,awopotsdam,2
digolze,kreistaghavelland,2
digolze,linke,3
digolze,stadtrathenow,2
mahagemann,filmuniversitaetbabelsberg,2
mahagemann,ffa,2
mahagemann,filmfoerderunghamburg,2
mahagemann,agdodk,2
mahagemann,lkrpberlin,4
frhemm,aws,2
frhemm,ihkbb,4
kariedel,musikratbb,4
kariedel,filmundfernsehbb,4
kariedel,filmverbandbb,2
svrissmann,abgeordnetenhausberlin,4
svrissmann,cdu,3
svrissmann,partgmbh,2
svrissmann,pwpberlin,2
stschenk,inclusivesolutions,2
stschenk,lbb,4
stschenk,bsberlin,2
stschenk,muslimischesseelsorgetel,2
stschenk,seninsport,2
stschenk,senkultgz,2
stschenk,sclsportclub,2
stschenk,spd,3
stschenk,lebenshilfeberlin,2
stschenk,eufundraising,2
stschenk,dtfundraisingverband,2
stschenk,telseelsorgebb,2
stschenk,foerderpicassoschule,2
stschenk,foerderevschuleberlin,2
stschenk,downsyndrominfo,2
