id,name,sex,age,type,Arbeitgeber,job (Berufsbezeichnung),sector,party
anbohnenkamprenken,Anne Bohnenkamp-Renken,1,66,A,freiesdeutscheshochstift,direktor,kultur,NA
ulcaspar,Ulrich Caspar,2,70,A,econo,prokurist,immobilien,NA
siclaar,Simone Claar,1,NA,A,gewhessen,vorstand,sozial,spd
inclaus,Ines Claus,1,NA,A,landtaghessen,mdl,politik,cdu
midangel,Miriam Dangel,1,40,A,bauernverbandhessen,referent,agrar,NA
sueickemeier,Susanne Eickemeier,1,61,A,hochschuleoffenbach,direktor,bildung,NA
arenners,Arno Enners,2,62,A,landtaghessen,mdl,politik,afd
kegeis,Kerstin Geis,1,62,A,landtaghessen,mdl,politik,spd
kahahne,Karin Hahne,1,NA,A,selbststaendig,anwalt,staat,NA
raheuberger,Rachel Heuberger,1,75,A,juedischegemeindeffm,leiter,sozial,NA
bikuemmel,Birgit Kümmel,1,68,A,museumsverbandhessen,leiter,kultur,NA
jukuhlmann,Juliane Kuhlmann,1,49,A,landwirtschafthessen,leiter,agrar,NA
mamachalett,Mario Machalett,2,51,A,hessischerjugendring,geschaeftsfuehrer,sozial,NA
mamencke,Martin Mencke,2,60,A,evkirche,oberkirchenrat,religion,NA
kamueller,Karin Müller,1,65,A,landesregierunghessen,beamter,poltik,NA
brott,Brigitte Ott,1,67,A,landesfrauenrathessen,geschaeftsfuehrer,sozial,NA
wopax,Wolfgang Pax,2,68,A,katholischekirche,pfarrer,religion,NA
chriess,Christof Riess,2,NA,A,hwkffmrheinmain,geschaeftsfuehrer,bildung,NA
svringsdorf,Sven Ringsdorf,2,37,A,weisschemietechnik,anwalt,industrie,fdp
rerock,Rene Rock,2,59,A,landesregierunghessen,mdl,politik,fdp
mirudolph,Michael Rudolph,2,49,A,dgb,vorstand,sozial,spd
heschmitt,Heini Schmitt,2,65,A,dbb,vorstand,sozial,NA
anschneider,Anke Schneider,1,59,A,vbe,vorstand,sozial,NA
roscholz,Rose-Lore Scholz,1,77,A,bdv,vorstand,sozial,cdu
kaseewald,Katharina Seewald,1,69,A,vhshessen,leiter,bildung,NA
evtolpina,Evelina Tolpina,1,54,A,sozialerdienst,paedagoge,sozial,NA
jevogt,Jean Marc Vogt,1,63,A,operfrankfurt,musiker,kultur,NA
mawagner,Mathias Wagner,2,52,A,landtaghessen,mdl,politik,gruene
siweinmannmang,Simone Weinmann-Mang,1,67,A,selbststaendig,geschaeftsfuehrer,wirtschaft,NA
anzulauf,Anne Zulauf,1,48,A,bfw,koordinator,sozial,NA
mepayandeh,Dr. Merhad Payandeh,2,66,A,dgb,leiter,sozial,spd
libudde,Lisa Budde,1,34,A,hannoverrueck,kommunikator,finanzen,NA
fiabaci,Fikret Abaci,2,62,A,integrationsratniedersachsen,vorstand,sozial,NA
febernard,Prof. Dr. Felix Bernard,2,NA,A,kathkircheniedersachsen,leiter,religion,NA
kaelste,Karin Elste,1,63,A,lbuniedersachsen,geschaeftsfuehrer,umwelt,NA
acengstler,Dr. Achim Engstler,2,67,A,fernuniversitaethagen,dozent,bildung,NA
utgottschaar,Ute Gottschaar,1,59,A,verdi,leiter,sozial,NA
migruenberg,Michael Grünberg,2,71,A,selbststaendig,kaufmann,wirtschaft,NA
imhaake,Imke Haake,1,44,A,stadtgrossenkneten,bm,politik,fdp
huhebbelmann,Hubertus Hebbelmann,2,72,A,umweltministeriumniedersachsen,referent,umwelt,NA
cohoeltkemeier,Cornelia Höltkemeier,1,60,A,bauwirtschaftniedersachsen,geschaeftsfuehrer,bau,NA
otholtz,Ottmar von Holtz,2,65,A,landniedersachsen,beamter,politik,gruene
hajagau,Hauke Jagau,2,65,A,eckertlaw,anwalt,recht,spd
ankramer,Anja Kramer,1,55,A,verdibildungswerk,vorstand,bildung,NA
jekruse,Jens-Peter Kruse,2,82,A,rentner,paedagoge,sozial,NA
utkueck,Ute Kück,1,62,A,samtgemeindeharsefeld,bm,politik,NA
milanger,Michael S. Langer,2,60,A,fliegetalentmanufaktur,kaufmann,logistik,gruene
lamesch,Lars Mesch,2,50,A,evkirchehannover,paedagoge,sozial,NA
jenacke,Jens Nacke,2,55,A,landtagniedersachsen,mdl,politik,cdu
sipuppe,Simone Puppe,1,56,A,bundesagenturfuerarbeit,assistent,sozial,NA
urrudnick,Prof. Dr. Ursula Rudnick,1,63,A,evkirchehannover,theologe,religion,NA
meschramme,Mechthild Schramme-Haack,1,75,A,regionhannover,beamter,sozial,NA
clschuessler,Claudia Schüßler,1,59,A,landtagniedersachsen,mdl,politik,spd
diswinke,Dirk Swinke,2,62,A,sovdniedersachsen,vorstand,sozial,NA
beunruh,Berbel Unruh,1,63,A,vhsverbandniedersachsen,direktor,bildung,NA
kaibellstedt,Kai Bellstedt,2,50,A,landschleswig,direktor,bildung,spd
gubecker,Gunnar Becker,2,57,A,hansebooks,geschaeftsfuehrer,wirtschaft,NA
bebaeumer,Beate Bäumer,1,54,A,erzbistumhamburg,leiter,religion,NA
tibrockmann,Tim Brockmann,2,49,A,stadtpreetz,bm,politik,cdu
nifickinger,Dr. Nico Fickinger,2,62,A,nordmetall,geschaeftsfuehrer,wirtschaft,NA
sishessler,Dr. Sieglinde Hessler,1,NA,A,dgbnord,leiter,sozial,NA
jeleutert,Jessica Leutert,1,NA,A,stadtkiel,referent,finanzen,cdu
flmatz,Florian Matz,2,49,A,matzautoteile,geschaeftsfuehrer,wirtschaft,spd
remueller,Regina Müller-Kronbügel,1,78,A,landschleswig,beamter,staat,NA
miott,Michael Ott,2,NA,A,stiftungnaturschutzschleswig,manager,umwelt,NA
kawulf,Katharina Wulf,1,41,A,frauenberatungschleswig,geschaeftsfuehrer,sozial,NA
thkaerst,Thomas Kärst,2,58,A,evkirchenord,pastor,religion,NA
stszczupak,Stefanie Szczupak,1,60,A,selbststaendig,makeupartist,wirtschaft,NA
utbertrand,Ute Bertrand,1,60,A,robinwood,pressesprecher,umwelt,NA
gabrasch,Gabriele Brasch,1,64,A,diakoniehamburg,vorstand,religion,NA
sagoldschmidt,Sandra Goldschmidt,1,50,A,verdihamburg,leiter,sozial,NA
evhubert,Eva Hubert,1,76,A,rentner,geschaeftsfuehrer,kultur,gruene
haschmidt,Hansjörg Schmidt,2,52,A,hamburgischebuergschaft,mdl,politik,spd
kaschroeder,Katja Schroeder,1,52,A,arthurboskampstiftung,leiter,kultur,NA
antranziska,Dr. Ann-Kathrin Tranziska,1,52,A,flaks,geschaeftsfuehrer,sozial,gruene
thvolkmann,Thomas Volkmann,2,60,A,steuerberaterverbandhamburg,geschaeftsfuehrer,finanzen,NA
anvoss,Anneke Voß,1,NA,A,verbraucherzentralehamburg,berater,sozial,NA
hemueller,Dr. Heike Müller,1,61,A,bauernverbandmalchin,geschaeftsfuehrer,agrar,NA
frlietz,Frauke Lietz,1,56,A,kulturlandmeckpom,koordinator,religion,NA
anbader,Anne Bader,1,NA,A,sportbundmeckpom,lehrer,sport,NA
wohasselfeldt,Wolfgang Hasselfeldt,2,72,A,rentner,ingenieur,bau,NA
najulitz,Nadine Julitz,1,36,A,landtagmeckpom,mdl,politik,spd
diknecht,Dietmar Knecht,2,59,A,dbbmeckpom,geschaeftsfuehrer,sozial,cdu
makrueger,May-Britt Krüger,1,60,A,selbststaendig,friseur,wirtschaft,cdu
thkrueger,Thomas Krüger,2,57,A,landtagmeckpom,mdl,politik,spd
miroolf,Michael Roolf,2,65,A,rentner,mdl,politik,NA
jeschlaupitz,Jennifer Schlaupitz,1,54,A,caritaserzbistumhamburg,leitung,sozial,NA
joschmidt,Jörg-Michael Schmidt,2,72,A,rentner,journalist,medien,cdu
klsondergeld,Dr. Klaus Sondergeld,2,NA,A,rentner,NA,NA,NA
elbest,Ellen-Anna Best,1,NA,A,rentner,richter,recht,NA
chwechselbaum,Christian Wechselbaum,2,45,A,dgb,landesleiter,sozial,gruene
heniessen,Ass. Jur. Helge Niessen,2,NA,A,arbeitgeberverbandbremen,jurist,recht,NA
mazier,Dr. Jan Matthias Zier,2,52,A,arbeitnehmerkammerbremen,referent,wirtschaft,NA
thkurzke,Thomas Kurzke,2,NA,A,selbststaendig,geschaeftsfuehrer,handwerk,NA
anrumpf,Antonia Rumpf,1,34,A,evkirchebremen,theologe,religion,NA
angrote,Andrea Grote,1,NA,A,kathkirchebremen,referent,religion,NA
hetruepel,Dr. Helga Trüpel,1,NA,A,NA,NA,NA,NA
fakemp,Farina Kemp,1,NA,A,NA,NA,NA,NA
dedogan,Derya Sultan Dogan,1,NA,A,NA,NA,NA,NA
mamirassol,Marcelo Cardoso Mirassol,2,NA,A,NA,NA,NA,NA
evquantebrandt,Prof. Dr. Eva Quante-Brandt,1,64,A,landessportbundbremen,vorstand,sport,spd
utgolasowski,Ute Golasowski,1,75,A,selbststaendig,anwalt,recht,gruene
krniemann,Kristin Niemann,1,40,A,kampnagel,leiter,kommunikation,NA
thjopping,Thomas Joppig,2,NA,A,schifffahrtsmuseum,leiter,kommunikation,NA
dischmidtmann,Dirk Schmidtmann,2,71,A,strassenamtbremen,inspektor,bau,gruene
sekaiser,Selda Kaiser,1,NA,A,stadtbremen,lehrer,bildung,NA
klbecke,Klaus Becké,2,NA,A,selbststaendig,anwalt,recht,NA
pidemirel,Pierre Demirel,2,NA,A,vhsbremen,dozent,bildung,NA
jukoerperich,Jule Körperich,1,51,A,selbststaendig,anwalt,recht,NA
gereichstein,Gesine Reichstein,1,71,A,radiobremen,redakteur,medien,NA
uwparpart,Uwe Parpart,2,NA,A,bremerhavenstadt,stadtrat,politik,NA
anofferhaus,Dr. Anke Offerhaus,1,NA,A,unibremen,dozent,bildung,gruene
sizeimke,Simon Zeimke,2,43,A,selbststaendig,informatiker,it,cdu
klanders,Dr. Klaas Anders,2,32,A,stadtbremen,pressesprecher,kommunikation,linke
maschroeder,Dr. Marcel Schröder,2,31,A,fdp,mdl,politik,fdp
elreichwald,Elena Reichwald,1,NA,A,NA,NA,NA,spd
chlinker,Christian Linker,2,NA,A,ratundtat,geschaeftsfuehrer,gesellschaft,NA
thvonzabern,Thomas von Zabern,2,NA,A,rentner,NA,NA,NA
mareicksmann,Martina Reicksmann,1,NA,A,rentner,NA,NA,NA
rozurbrueggen,Rolf Zurbrüggen,2,68,A,vhswarendorf,direktor,bildung,NA
cobluemel,Corinna Blümel,1,65,A,selbststaendig,journalist,medien,NA
makaub,Marie Kaub,1,65,A,filmschulekoeln,dozent,bildung,NA
flbraun,Florian Braun,2,37,A,landtagnrw,mdl,politik,cdu
grgolland,Gregor Golland,2,52,A,landtagnrw,mdl,politik,cdu
gahammelrath,Gabriele Hammelrath,1,73,A,landtagnrw,mdl,politik,spd
jaheinisch,Dr. Jan Heinisch,2,50,A,landtagnrw,mdl,politik,cdu
frjablonski,Frank Jablonski,2,52,A,landtagnrw,mdl,politik,gruene
israzanica,Isabel Razanica,1,33,A,landtagnrw,mdl,politik,spd
kaknoebelspies,Karin Knöbelspies,1,62,A,landtagnrw,mdl,politik,gruene
kikorte,Kirstin Korte,1,71,A,landtagnrw,mdl,politik,cdu
fakuehl,Fabiana Kühl ,1,32,A,selbststaendig,berater,sozial,NA
thnueckel,Thomas Nückel,2,64,A,selbststaendig,journalist,medien,fdp
svtritschler,Sven Tritschler,2,45,A,landtagnrw,mdl,politik,afd
alvogt,Alexander Vogt,2,48,A,landtagnrw,mdl,politik,spd
pevogt,Petra Vogt,1,56,A,landtagnrw,mdl,politik,cdu
heweber,Dr. Hedda Weber,1,53,A,evkirche,leiter,recht,NA
hemeyer,Heike Meyer,1,50,A,kathkirche,leiter,kommunikation,NA
feschotland,Dr. Felix Schotland,2,58,A,selbststaendig,arzt,medizin,NA
anweber,Anja Weber,1,65,A,dgbnrw,vorsitz,gesellschaft,NA
judalhoffschereik,Julia Dalhoff-Schereik,1,51,A,dbbnrw,referent,recht,NA
tanackmayr,Tanja Nackmayr,1,51,A,unternehmernrw,geschaeftsfuehrer,wirtschaft,NA
clschulte,Claudia Schulte,1,58,A,handwerkskammerduesseldorf,geschaeftsfuehrer,wirtschaft,NA
suschulzebockeloh,Susanne Schulze Bockeloh,1,61,A,selbststaendig,landwirt,agrar,cdu
daschneckenburger,Daniela Schneckenburger,1,68,A,staedtetagnrw,leiter,bildung,gruene
hasuergit,Dr. Hasan Sürgit,2,49,A,drkwestfalenlippe,vorstand,gesundheit,NA
mabecker,Manuel Becker,2,37,A,elternerziehernrw,geschaeftsfuehrer,gesellschaft,NA
bekinkel,Benjamin Kinkel,2,43,A,quueresnetzwerknrw,geschaeftsfuehrer,gesellschaft,NA
gihinnemann,Gisela Hinnemann,1,77,A,rentner,lehrer,bildung,cdu
hezanderhayat,Helga Zander-Hayat,1,66,A,selbststaendig,anwalt,recht,NA
lulorenz,Lukas Lorenz,2,34,A,koelnerverkehrsbetriebe,schreiner,handwerk,spd
sieilers,Dr. Silke Eilers,1,51,A,westfälischerheimatbund,geschaeftsfuehrer,gesellschaft,NA
makohler,Margareta Kohler,1,79,A,rentner,buchhalter,wirtschaft,NA
miwenge,Michael Wenge,2,NA,A,bergischeihk,geschaeftsfuehrer,wirtschaft,NA
cotiwisina,Dr. Constanze Tiwisina,1,47,A,vodafone,leiterin,kommunikation,NA
vipeveling,Viktoria Peveling,1,47,A,selbststaendig,filmemacher,medien,NA
hovoege,Horst Vöge,2,79,A,rentner,koch,gastronomie,spd
geascheid,Prof. Dr. Gerd Ascheid ,2,75,A,rentner,dozent,bildung,NA
kssakalsek,Ksenija Sakalšek,1,65,A,rhenusfreightlogistics,kaufmann,wirtschaft,NA
kabuescher,Karl-Josef Büscher,2,72,A,rentner,elektriker,wirtschaft,NA
dikosslick,Dieter Kosslick,2,78,A,berlinale,direktor,film,NA
peschmitz,Petra Luise Schmitz,1,74,A,selbststaendig,journalist,medien,NA
hestumpf,Dr. Heike Stumpf,1,62,A,landesmusikratnrw,referent,musik,NA
frvanduiven,Friederike van Duiven,1,64,A,selbststaendig,kuenstler,kunst,NA
mischuerg,Mike Schürg,2,55,A,igmetallnrw,pressesprecher,kommunikation,spd
doklee,Prof. Dr. Doris Klee,1,71,A,rentner,chemiker,wissenschaft,NA
pefreitag,Peter Freitag,2,61,A,rheinischeredaktionsgemeinschaft,redakteur,medien,NA
chhuelsmeier,Christian Hülsmeier,2,68,A,igbcenrw,vorstand,wirtschaft,NA
anbartz,Anjara Ingrid Bartz,1,NA,A,theaterbonn,musiker,musik,NA
pewahl,Peter Wahl,2,73,A,rentner,ingenieur,bau,fdp
bezimmer,Bernd Zimmer,2,70,A,rentner,arzt,medizin,NA
hekeilhofer,Heike Keilhofer,1,59,A,deutschermieterbundnrw,geschaeftsfuehrer,wirtschaft,NA
niheitzig,Nicole Heitzig,1,54,A,amtsgerichtpaderborn,richter,recht,NA
salipan,Sabine Lipan,1,68,A,selbststaendig,autor,kultur,NA
isgronackwa,Isabel Gronack-Walz,1,60,A,colognedigital,geschaeftsfuehrer,medien,
abgeordnetenhausberlin,Abgeordnetenhaus Berlin,NA,NA,D,NA,NA,NA,NA
abschiebungshaftglueckstadt,Abschiebungshafteinrichtung Glückstadt,NA,NA,D,NA,NA,NA,NA
absolventum,AbsolventUM e. V.,NA,NA,D,NA,NA,NA,NA
